id,通用名称,药品名称,注意事项,注意事项关系
701,富马酸喹硫平片,,1.由于本品经肝脏代谢，因此，肝功能不全的病人慎用。如需使用本品治疗的病人应注意剂量的选择，并监测肝功能情况。2.本品应慎用于已知有心血管疾病、脑血管疾病或其它有低血压倾向的病人。富马酸喹硫平可能会导致直立性低血压，尤其是在最初的加药期在老年患者中上述现象较年轻患者多见。如在剂量递增过程中出现低血压，应返回至前一较低的剂量。在临床试验中，使用本品不伴发持久性Q-Tc间期延长，但与其它抗精神病药物一样，如果将本品与其它己知会延长Q-Tc间期的药物合用时应当谨慎，尤其是用于老年人时。3.与其它抗精神病药物一样，当本品用于治疗有抽搐病史的患者时应慎用。4.抗精神病药物治疗会伴发神经阻滞剂恶性综合症征。临床表现包括高热、精神状态改变、肌肉强直、植物神经功能紊乱、肌酸磷酸激酶活性增加、横纹肌溶解和急性肾功能衰竭，若使用本品治疗的过程中出现此种情况，应停用本品并给予适当的治疗。5.与其它抗精神病药物一样，长期服用本品治疗也有导致迟发性运动障碍的可能性，如果出现迟发性运动障碍的体征和症状，应考虑减少本品剂量或停用。6.在接受长期富马酸喹硫平治疗的患者中，发现有晶体的变化，但其与使用本品的因果关系尚不确定。患者在初次接受本品前应对晶体进行检查，并在长期的治疗中每半年复查一次。7.使用本品的患者，可能会出现认知和运动功能损伤，因此会影响其判断、思考和运动机能，应避免驾驶摩托车(包括汽车)或操作具危险性的机械。8.抗精神病药物能引起体温下降，虽然此症状尚未在本品的使用中出现，但服用本品者应注意避免剧烈运动、高温、合用抗副交感神经作用的药物或发生脱水。9.抗精神病药物能引起食道功能障碍和误吸，具有吸入性肺炎危险的患者应慎用本品。10.服用本品的患者不应饮用含酒精的饮料。,肝功能不全-慎用，高热-停用，精神状态改变-停用，肌肉强直-停用，植物神经功能紊乱-停用，肌酸磷酸激酶活性增加-停用，横纹肌溶解-停用，急性肾功能衰竭-停用
703,茴拉西坦片,,1．有明显肝功能异常者应适当调整给药剂量。2．本品可加重Huntington舞蹈病者症状。请仔细阅读说明书并遵医嘱使用。,肝功能异常-减量
705,佐米曲普坦片,,本药仅应用于已诊断明确的偏头患者。要注意排除其它严重潜在的神经科疾病。尚无偏瘫性或基底动脉性偏头痛患者使用本品的资料，不推荐使用。症状性帕金森氏综合症或患者与其它心脏旁路传导有关的心律失常者不应使用本品。此类化合物（5HT激动剂）与冠状动脉的痉挛有关，因此，临床试验中未包括缺血性心脏病患者，故此类患者不推荐使用本品。由于可能存在一些未被识别的冠状动脉疾病患者，所以建议开始使用5HT激动剂，治疗前先做心血管的检查。与使用其他5－HT激动剂类似，服用佐米曲普坦后，心前区可出现非典型心绞痛的感觉；但是临床试验中，此类症状与心律失常或心电图上显示的缺血改变无关。目前尚无肝损害者使用本品的临床可药代动力学的经验，不推荐使用。对驾驶及机械操作能力无明显损害，本约20mg时，患者在精神运动测试中，操纵项目未明显的损害。使用本品不会损害患者驾驶及机械操纵的能力，但仍要考虑到本药可能引起嗜睡。请仔细阅读说明书并遵医嘱使用。,偏瘫性偏头痛-不宜，基底动脉性偏头痛-不宜，症状性帕金森氏综合症-禁忌，心律失常-禁忌，缺血性心脏病-不宜
708,益脑胶囊,,尚不明确。请仔细阅读说明书并遵医嘱使用。,
742,灵芝分散片,,尚不明确。,
749,甲磺酸瑞波西汀片,,1.本品停用7天以内不宜使用MAOI；2.停用MAOI不超过2周者，亦不宜使用本品；3.服用本品后不会立即减轻症状，通常症状的改善会在服药后几周内出现，因此，即使服药后没有立即出现病情好转也不应停药，直到服药几个月后医生建议停药为止；4.坚持每天服药是十分必要的，但如果错过一次服药，可在下一个用药时间继续服用下一个剂量即可。,MAOI-禁忌，
769,枣仁安神胶囊,,1.孕妇慎用。2.由于消化不良所导致的睡眠差者忌用。3.按照用法用量服用，糖尿病患者、小儿应在医师指导下服用。4.服药2周症状未缓解，应去医院就诊。5.对本品过敏者禁用，过敏体质者慎用。6.本品性状发生改变时禁止使用。7.儿童必须在成人的监护下使用。8.请将本品放在儿童不能接触的地方。9.如正在使用其他药品，使用本品前请咨询医师或药师。,孕妇-慎用，
777,复方地茯口服液,,1.忌辛辣、生冷、油腻食物。2.感冒发热病人不宜服用。3.本品宜饭前服用。4.高血压、心脏病、肝病、肾病等慢性病患者应在医师指导下服用。5.儿童、孕妇应在医师指导下服用。6.服药2周症状无缓解，应去医院就诊。7.对本品过敏者禁用，过敏体质者慎用。8.药品性状发生改变时禁止服用。9.儿童必须在成人监护下使用。10.将此药品放在儿童不能接触的地方。11.如正在服用其他药品，使用本品前请咨询医师或药师。,感冒-不宜，发热-不宜，
800,天王补心片,null,详见说明书。,
805,醒脑再造胶囊,,尚不明确。,
814,甲钴胺片,,1.如果服用一个月以上无效，则无需继续服用。2.从事汞及其化合物的工作人员，不宜长期大量服用本品。3.本品开封后，应避光、避湿保存。,从事汞及其化合物的工作人员-不宜
815,参芪五味子片,,1.忌不易消化食物。2.感冒发热病人不宜服用。3.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。4.儿童、孕妇、哺乳期妇女应在医师指导下服用。5.服药4周症状无缓解，应去医院就诊。6.对本品过敏者禁用，过敏体质者慎用。7.本品性状发生改变时禁止使用。8.儿童必须在成人监护下使用。9.请将本品放在儿童不能接触的地方。10.如正在使用其他药品，使用本品前请咨询医师或药师。,感冒-不宜，发热-不宜，
830,盐酸舍曲林片,,"1.舍曲林与可增加5-羟色胺神经传导的药物如色氨酸或芬氟拉明合用时应慎重考虑,避免出现可能的药效学相互作用。2.由其它5-羟色胺再摄取抑制剂、抗抑郁药物或抗强迫症药物转换为舍曲林治疗的最佳时机尚无经验。转换治疗时，特别是长效药物如氟西汀，应谨慎小心，应进行慎重的药效学评价和监测。由一种选择性5-羟色胺再摄取抑制剂转换为另一种药物治疗的清洗期目前还未确定。躁狂/轻躁狂的激活作用上市前的试验期间，接受舍曲林治疗的病人约0.4%出现轻躁狂或躁狂。应用其他已上市的抗抑郁药物或抗强迫症药物治疗情感性障碍时，也有报道少数病人出现有躁狂或轻度躁狂。3.抗抑郁药物和抗强迫症药物都有诱发癫痫发作的潜在危险性。所有在用舍曲林治疗抑郁症的试验中，大约有约0.08%出现癫痫发作；在舍曲林治疗惊恐症的试验中没有癫痫发作的报道。在约1800名接受舍曲林治疗的强迫症患者中，有4人（约0.2%）出现抽搐发作，其中3例患者为青少年，2例患有癫痫，1例患者有癫痫家族史，所有这4例患者都没有接受抗癫痫药物治疗。所有癫痫发作尚未确定与舍曲林治疗直接相关。舍曲林还没有在癫痫病人中作过评价，所以应避免用于不稳定性癫痫病人。对病情已控制的癫痫病人，应密切监护，任何服用舍曲林期间出现癫痫发作的患者均应停止给药。4.由于抑郁症病人存在自杀企图的可能性，并可能持续存在直到临床明显缓解时，所以在治疗早期应对有自杀危险的病人进行密切监视。由于已证明强迫症和抑郁症常常共发，故治疗强迫症患者时也应监测其自杀倾向。5.育龄妇女使用舍曲林则应采取足够的安全的避孕措施。6.虽然临床药理学研究显示舍曲林对于精神运动性活动没有影响。然而抗抑郁或抗强迫症药物可以影响从事驾车或操作机器等有潜在危险性的工作时所必须的精力及体能，因此这类病人服用舍曲林应小心。7.肝功能不全患者:伴发肝脏疾病的患者应慎用舍曲林。肝功能损伤患者应减低服药剂量或给药频率。8.肾功能不全患者:无需根据肾功能损害程度调整舍曲林给药剂量。",色氨酸-慎重，芬氟拉明-慎重，氟西汀-慎重，轻躁狂-慎重，躁狂-慎重，癫痫-停用，驾车-不宜，操作机器-不宜，肝功能不全-慎用，伴发肝脏疾病-慎用，肝功能损伤-减量，
834,曲安西龙片,,1.因服用此药会使免疫系统受到抑制，故病人比健康人更易感染，应予以特别注意。2.下列情况应慎用心脏病或急性心力衰竭；糖尿病；憩室炎；情绪不稳定或有精神病倾向；青光眼；肝功能损害；眼单纯性疱疹；高脂蛋白血症；高血症；甲状腺功能减低；重症肌无力；骨质疏松；胃溃疡、胃炎或管炎；肾功能损害或结石；结核病；凝血酶原过少。3.妊娠、哺乳期妇女慎用。4.儿童长期使用可抑制生长和发育，应慎用。5.定期检测血压、体重、血糖和尿糖、血清电解质、大便潜血，并进行眼科检查。6.长期、大剂量应用时，需定期追查双侧髋关节。请仔细阅读说明书并遵医嘱使用。,心脏病-慎用，急性心力衰竭-慎用，糖尿病-慎用，憩室炎-慎用，情绪不稳定-慎用，精神病倾向-慎用，青光眼-慎用，肝功能损害-慎用，眼单纯性疱疹-慎用，高脂蛋白血症-慎用，高血症-慎用，甲状腺功能减低-慎用，重症肌无力-慎用，骨质疏松-慎用，胃溃疡-慎用，胃炎-慎用，管炎-慎用，肾功能损害-慎用，结石-慎用，结核病-慎用，凝血酶原过少-慎用，妊娠-慎用，哺乳期妇女-慎用，儿童-慎用，血压-检查，体重-检查，血糖-检查，尿糖-检查，血清电解质-检查，大便潜血-检查，眼科-检查，双侧髋关节-检查，
841,碳酸锂片,,由于锂盐的治疗指数低，治疗量和中毒量较接近，应对血锂浓度进行监测，帮助调节治疗量及维持量，及时发现急性中毒。治疗期应每1～2周测量血锂一次，维持治疗期可每月测定一次。取血时间应在次日晨即末次服药后12小时。急性治疗的血锂浓度为0.6～1.2mmol/L，维持治疗的血锂浓度为0.4～0.8mmol/L，1.4mmol/L视为有效浓度的上限，超过此值容易出现锂中毒。脑器质性疾病、严重躯体疾病和低钠血症患者慎用本品。服本品患者需注意体液大量丢失，如持续呕吐、腹泻、大量出汗等情况易引起锂中毒。服本品期间不可用低盐饮食。长期服药者应定期检查肾功能和甲状腺功能。,
869,null,null,心血管疾病）处理喹硫平无特异性解毒剂。遇到严重中毒的患者，应考虑涉及多种药物的可能性，并建议采取积极的监护措施，包括开通良好的气道，保证足够的供氧和通气，同时监测和维持心血管功能。尽管未研究药物过量时如何防止吸收，但严重中毒时可进行洗胃，如果可能，在摄入后1小时内进行。应考虑使用活性炭。应采取严密的医疗监护和监测，直到患者恢复。,
872,安尔眠胶囊,,1.糖尿病患者慎用。2.本品宜餐后服。3.服本药一周后症状未见改善，或症状加重者，应立即停药并去医院就诊。4.药品性状发生改变时禁止服用。5.儿童必须在成人监护下使用。6.请将此药品放在儿童不能接触的地方。7.如正在服用其他药品，使用本品前请咨询医师或药师。,糖尿病-慎用，
876,十一味维命胶囊,,尚不明确。,
877,null,null,1.本品宜餐后服。2.糖尿病患者慎用。3.服本品1周后症状未见改善，或服药期间症状加重者，应立即停药并去医院就诊。4.对本品过敏者禁用，过敏体质者慎用。5.本品性状发生改变时禁止使用。6.儿童必须在成人监护下使用。7.请将本品放在儿童不能接触的地方。8.如正在使用其他药品，使用本品前请咨询医师或药师。,糖尿病-慎用，
